N,P,K,temperature,humidity,ph,rainfall,crop
112.7099,45.3964,95.1317,18.7135,80.0683,5.5064,70.9319,strawberry
83.9504,50.5913,62.0955,24.7932,43.6432,6.4867,104.9009,maize
33.6322,115.9038,155.2364,25.1057,76.2127,6.485,146.2202,apple
65.4362,36.2577,71.8497,25.7794,58.9022,5.4524,68.8877,cherry
93.4799,27.9169,93.203,20.4391,71.8643,5.9617,85.7104,tomato
128.6455,66.0923,88.9613,27.2407,66.4301,6.8042,89.8025,tomato
134.3741,59.7373,80.5578,22.7404,33.6305,6.3476,89.0101,peach
91.1293,48.0382,93.4364,25.991,50.9606,5.7597,144.1006,tomato
102.6022,54.0063,79.0402,25.1792,67.3753,5.4534,98.6419,bell_pepper
73.0111,45.4616,73.1647,18.4452,63.35,5.8055,88.8715,cherry
133.4247,56.1949,144.0465,26.6708,56.9351,5.7005,92.6768,bell_pepper
82.0186,64.9645,54.9345,25.3966,48.0636,5.6255,59.9347,peach
123.0088,60.081,83.0347,27.9944,81.5149,6.1065,104.3633,bell_pepper
112.7563,56.5917,126.4076,15.1196,67.2386,5.8654,117.1788,potato
55.9954,56.6203,100.3606,9.576,89.2229,5.9553,56.7198,strawberry
84.6205,56.3596,72.164,30.4334,74.5058,5.5859,77.7591,bell_pepper
64.076,56.3182,73.9593,22.6324,60.7077,5.8904,65.991,cherry
106.359,58.8803,74.1895,30.2667,56.6808,6.8853,109.8177,tomato
104.3176,53.6854,36.739,25.1244,68.6712,6.3727,79.5721,tomato
108.5184,49.9785,115.0231,15.1466,63.8992,6.2783,70.1425,potato
103.2722,28.3088,105.3422,18.8846,94.5149,5.4939,110.0189,potato
88.1165,53.1415,71.8616,25.2744,52.7647,5.6294,69.229,peach
71.0324,63.8489,91.1473,17.4466,83.955,5.9465,95.7485,strawberry
52.3558,45.3182,84.3829,13.8331,70.512,6.3458,107.0724,strawberry
70.2176,66.2922,73.7499,19.9702,71.5654,7.0723,94.8278,peach
14.5283,114.4066,163.4666,18.691,73.4797,5.9479,93.0768,apple
72.772,65.9606,93.5827,18.8976,60.9824,5.8382,69.5329,strawberry
119.8562,35.4422,76.8203,7.5415,73.8016,5.674,97.9148,potato
9.8898,108.4371,138.9414,20.1087,88.3178,6.3437,91.2126,apple
82.7172,30.3078,78.5299,12.7383,56.8415,6.537,73.0355,cherry
32.8805,131.43,145.7885,12.9371,78.9694,5.7999,101.7096,apple
128.7652,60.8028,117.0758,14.5588,76.6854,6.2839,99.0668,potato
91.1462,51.3221,53.3596,25.3906,65.1406,7.0104,109.0678,maize
89.1749,44.1814,48.6532,26.5589,62.4002,6.5297,145.2883,maize
45.4595,118.6487,142.9925,16.2997,54.4469,5.8901,135.2943,apple
37.3547,137.0875,152.5016,14.9119,75.6681,6.0154,103.1072,apple
89.2058,41.6582,104.6807,16.7703,74.9133,6.5902,107.7786,potato
58.7757,44.6625,92.7634,16.0222,83.0645,6.8708,61.7374,cherry
24.607,51.6592,49.7911,21.2636,64.2896,5.775,76.985,grapes
37.2302,124.2019,144.3913,17.24,50.9784,6.2686,36.9524,apple
85.9979,35.434,41.7035,27.2786,52.9687,6.305,140.5305,maize
15.1389,132.2456,151.7852,18.9925,62.1296,5.8623,113.9802,apple
